Date,Open,High,Low,Close,Volume,Adj Close
2008-05-02,67869.00,73920.00,67865.00,72593.00,1381700,72593.00
2008-04-01,60965.00,68038.00,60965.00,67868.00,1072500,67868.00
2008-03-03,63496.00,65045.00,57824.00,60968.00,2527600,60968.00
2008-02-01,59491.00,66005.00,58030.00,63489.00,3460100,63489.00
2008-01-02,63885.00,63906.00,53011.00,59490.00,3865000,59490.00
2007-12-03,63018.00,66529.00,59414.00,63886.00,2325400,63886.00
2007-11-01,65317.00,65317.00,58096.00,63006.00,6134900,63006.00
2007-10-01,60465.00,65949.00,59473.00,65318.00,6876900,65318.00
2007-09-03,54641.00,61054.00,52321.00,60465.00,5882100,60465.00
2007-08-01,54170.00,55616.00,44938.00,54637.00,52098100,54637.00
2007-07-02,54396.00,58293.00,52627.00,54183.00,46980800,54183.00
2007-06-01,52271.00,55003.00,50885.00,54392.00,104675300,54392.00
2007-05-02,48955.00,52877.00,48953.00,52268.00,110745900,52268.00
2007-04-02,45805.00,49856.00,45225.00,48956.00,147218700,48956.00
2007-03-01,43886.00,45950.00,41117.00,45805.00,137422200,45805.00
2007-02-01,44642.00,46752.00,42571.00,43892.00,132611800,43892.00
2007-01-02,44476.00,45388.00,41266.00,44642.00,102016600,44642.00
2006-12-01,41930.00,44675.00,41192.00,44474.00,103090100,44474.00
2006-11-01,39279.00,42308.00,39279.00,41932.00,121910300,41932.00
2006-10-02,36450.00,39843.00,36438.00,39263.00,121889800,39263.00
2006-09-01,36232.00,37739.00,34127.00,36449.00,126016700,36449.00
